original_title,vote_average,genres,cast,id,director,keywords
Skyfall,6.9,"['Action', 'Adventure', 'Thriller']","['DanielCraig', 'JavierBardem', 'JudiDench', 'RalphFiennes']",37724,Sam Mendes,"['artgallery', 'boobytrap', 'britishsecretservice', 'imax', 'impersonatingapoliceofficer', 'istanbulturkey', 'killer', 'macao', 'secretagent', 'sociopath', 'spy', 'uzi']"
Spider-Man 2,6.7,"['Action', 'Adventure', 'Fantasy']","['AlfredMolina', 'JamesFranco', 'KirstenDunst', 'TobeyMaguire']",558,Sam Raimi,"['death', 'doctor', 'dualidentity', 'loveofoneslife', 'marvelcomic', 'pizzaboy', 'scientist', 'sequel', 'superhero', 'supervillain', 'tentacle']"
Iron Man 3,6.8,"['Action', 'Adventure', 'ScienceFiction']","['DonCheadle', 'GuyPearce', 'GwynethPaltrow', 'RobertDowneyJr.']",68721,Shane Black,"['3d', 'aftercreditsstinger', 'basedoncomicbook', 'extremis', 'ironman', 'ironpatriot', 'malibu', 'mandarin', 'marvelcinematicuniverse', 'marvelcomic', 'superhero', 'tennessee', 'terrorist', 'tonystark', 'warmachine', 'waronterror']"
Alice in Wonderland,6.4,"['Adventure', 'Family', 'Fantasy']","['AnneHathaway', 'HelenaBonhamCarter', 'JohnnyDepp', 'MiaWasikowska']",12155,Tim Burton,"['3d', 'aliceinwonderland', 'basedonnovel', 'fantasy', 'fantasyworld', 'fictionalplace', 'queen']"
X-Men: The Last Stand,6.3,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['HalleBerry', 'HughJackman', 'IanMcKellen', 'PatrickStewart']",36668,Brett Ratner,"['aftercreditsstinger', 'basedoncomicbook', 'beast', 'cyclops', 'marvelcomic', 'mutant', 'superhuman']"
Monsters University,7.0,"['Animation', 'Family']","['BillyCrystal', 'HelenMirren', 'JohnGoodman', 'SteveBuscemi']",62211,Dan Scanlon,"['aftercreditsstinger', 'animation', 'bestfriend', 'dormitory', 'games', 'monster', 'scary', 'university']"
Transformers: Revenge of the Fallen,6.0,"['Action', 'Adventure', 'ScienceFiction']","['JoshDuhamel', 'MeganFox', 'RainnWilson', 'ShiaLaBeouf']",8373,Michael Bay,"['artifact', 'chaos', 'duringcreditsstinger', 'egypt', 'imax', 'robot', 'sun', 'symbol', 'tank', 'transformers']"
Transformers: Age of Extinction,5.8,"['Action', 'Adventure', 'ScienceFiction']","['KelseyGrammer', 'MarkWahlberg', 'NicolaPeltz', 'StanleyTucci']",91314,Michael Bay,"['alien', 'giantrobot', 'imax', 'robot', 'sequel', 'transformers', 'transformingrobot']"
Oz: The Great and Powerful,5.7,"['Adventure', 'Family', 'Fantasy']","['JamesFranco', 'MichelleWilliams', 'MilaKunis', 'RachelWeisz']",68728,Sam Raimi,"['3d', 'circus', 'hope', 'illusion', 'lost', 'magic', 'magictrick', 'witch', 'wizard']"
The Amazing Spider-Man 2,6.5,"['Action', 'Adventure', 'Fantasy']","['AndrewGarfield', 'DaneDeHaan', 'EmmaStone', 'JamieFoxx']",102382,Marc Webb,"['basedoncomicbook', 'electricity', 'electrocution', 'marvelcomic', 'medicalexperiment', 'obsession', 'sequel', 'superpowers']"
TRON: Legacy,6.3,"['Action', 'Adventure', 'ScienceFiction']","['BruceBoxleitner', 'GarrettHedlund', 'JeffBridges', 'OliviaWilde']",20526,Joseph Kosinski,"['artificialintelligence', 'autocracy', 'computer', 'computerprogram', 'deception', 'duel', 'dystopia', 'motorcycle', 'neonlight', 'secretidentity']"
Cars 2,5.8,"['Adventure', 'Animation', 'Comedy', 'Family']","['EmilyMortimer', 'LarrytheCableGuy', 'MichaelCaine', 'OwenWilson']",49013,John Lasseter,"['anthropomorphism', 'bestfriend', 'carrace', 'comedy', 'duringcreditsstinger', 'sequel']"
Green Lantern,5.1,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['BlakeLively', 'PeterSarsgaard', 'RyanReynolds', 'TimRobbins']",44912,Martin Campbell,"['3d', 'alien', 'alieninfection', 'dccomics', 'magicalobject', 'origin', 'protector', 'superhero', 'superpowers', 'transformation']"
Toy Story 3,7.6,"['Animation', 'Comedy', 'Family']","['JoanCusack', 'NedBeatty', 'TimAllen', 'TomHanks']",10193,Lee Unkrich,"['animation', 'barbie', 'college', 'daycare', 'duringcreditsstinger', 'escape', 'hostage', 'inanimateobjectscomingtolife', 'personification', 'teddybear', 'toy', 'toycomestolife', 'toystory']"
Terminator Salvation,5.9,"['Action', 'ScienceFiction', 'Thriller']","['AntonYelchin', 'ChristianBale', 'MoonBloodgood', 'SamWorthington']",534,McG,"['army', 'artificialintelligence', 'cyborg', 'dystopia', 'firearm', 'gasstation', 'killerrobot', 'losangeles', 'post-apocalyptic', 'prophecy', 'sanfrancisco', 'savingtheworld', 'wartime']"
Furious 7,7.3,['Action'],"['DwayneJohnson', 'MichelleRodriguez', 'PaulWalker', 'VinDiesel']",168259,James Wan,"['car', 'carrace', 'musclecar', 'race', 'revenge', 'speed', 'suspense']"
World War Z,6.7,"['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']","['AbigailHargrove', 'BradPitt', 'MireilleEnos', 'SterlingJerins']",72190,Marc Forster,"['apocalypse', 'dystopia', 'multipleperspectives', 'nuclearweapons', 'zombie', 'zombieapocalypse']"
X-Men: Days of Future Past,7.5,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['HughJackman', 'JamesMcAvoy', 'JenniferLawrence', 'MichaelFassbender']",127585,Bryan Singer,"['1970s', 'aftercreditsstinger', 'basedoncomicbook', 'beast', 'changingthepastorfuture', 'marvelcomic', 'mutant', 'storm', 'superhuman', 'timetravel']"
Star Trek Into Darkness,7.4,"['Action', 'Adventure', 'ScienceFiction']","['ChrisPine', 'KarlUrban', 'ZacharyQuinto', 'ZoeSaldana']",54138,J.J. Abrams,"['3d', 'alien', 'friendship', 'futuristic', 'imax', 'sequel', 'space', 'spacecraft', 'spaceopera', 'terroristbombing']"
Jack the Giant Slayer,5.5,"['Action', 'Family', 'Fantasy']","['EleanorTomlinson', 'EwanMcGregor', 'NicholasHoult', 'StanleyTucci']",81005,Bryan Singer,"['basedonfairytale', 'giant']"
The Great Gatsby,7.3,"['Drama', 'Romance']","['CareyMulligan', 'JoelEdgerton', 'LeonardoDiCaprio', 'TobeyMaguire']",64682,Baz Luhrmann,"['3d', 'basedonnovel', 'hope', 'infidelity', 'obsession']"
Prince of Persia: The Sands of Time,6.2,"['Action', 'Adventure', 'Fantasy', 'Romance']","['AlfredMolina', 'BenKingsley', 'GemmaArterton', 'JakeGyllenhaal']",9543,Mike Newell,"['armageddon', 'basedonvideogame', 'brotheragainstbrother', 'persia', 'regent', 'sandstorm']"
Pacific Rim,6.7,"['Action', 'Adventure', 'ScienceFiction']","['CharlieDay', 'CharlieHunnam', 'IdrisElba', 'RonPerlman']",68726,Guillermo del Toro,"['3d', 'apocalypse', 'duringcreditsstinger', 'dystopia', 'giantmonster', 'giantrobot', 'imax']"
Transformers: Dark of the Moon,6.1,"['Action', 'Adventure', 'ScienceFiction']","['FrancesMcDormand', 'JohnMalkovich', 'KenJeong', 'ShiaLaBeouf']",38356,Michael Bay,"['alienplanet', 'basedoncartoon', 'bodyguard', 'commando', 'duringcreditsstinger', 'giantrobot', 'moon', 'sabotage', 'spacecraft', 'traitor', 'transformers', 'worddomination']"
Indiana Jones and the Kingdom of the Crystal Skull,5.7,"['Action', 'Adventure']","['CateBlanchett', 'HarrisonFord', 'RayWinstone', 'ShiaLaBeouf']",217,Steven Spielberg,"['alienphenomenons', 'archaeologist', 'archeology\\\\\\\\xa0', 'indianajones', 'leatherjacket', 'machinegun', 'mayacivilization', 'mexicocity', 'nuclearexplosion', 'peru', 'refrigerator', 'riddle', 'savingtheworld', 'treasure', 'treasurehunt', 'whip']"
The Good Dinosaur,6.6,"['Adventure', 'Animation', 'Family']","['FrancesMcDormand', 'JackBright', 'JeffreyWright', 'RaymondOchoa']",105864,Peter Sohn,"['alternatehistory', 'dinosaur', 'fear', 'friends', 'human', 'journey', 'nature', 'storm', 'tyrannosaurusrex']"
Brave,6.7,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['BillyConnolly', 'EmmaThompson', 'JulieWalters', 'KellyMacdonald']",62177,Brenda Chapman,"['3d', 'aftercreditsstinger', 'archer', 'archery', 'bear', 'bravery', 'courage', 'kingdom', 'peaceoffering', 'rebel', 'rebelliousdaughter', 'ruins', 'scot', 'scotland', 'turnsintoanimal', 'wish', 'womandirector']"
Star Trek Beyond,6.6,"['Action', 'Adventure', 'ScienceFiction']","['ChrisPine', 'KarlUrban', 'SimonPegg', 'ZacharyQuinto']",188927,Justin Lin,"['hatred', 'sequel', 'spaceopera', 'stranded']"
WALL·E,7.8,"['Animation', 'Family']","['BenBurtt', 'ElissaKnight', 'FredWillard', 'JeffGarlin']",10681,Andrew Stanton,['romanticcomedy']
Rush Hour 3,6.1,"['Action', 'Comedy', 'Crime', 'Thriller']","['ChrisTucker', 'HiroyukiSanada', 'JackieChan', 'MaxvonSydow']",5174,Brett Ratner,['ambassador']
2012,5.6,"['Action', 'Adventure', 'ScienceFiction']","['AmandaPeet', 'ChiwetelEjiofor', 'JohnCusack', 'ThandieNewton']",14161,Roland Emmerich,"['apocalypse', 'ark', 'civilization', 'destruction', 'destructionofmankind', 'disaster', 'endoftheworld', 'mayan', 'naturaldisaster', 'solar', 'volcaniceruption']"
A Christmas Carol,6.6,"['Animation', 'Drama']","['DarylSabara', 'GaryOldman', 'JimCarrey', 'SteveValentine']",17979,Robert Zemeckis,"['basedonnovel', 'charlesdickens', 'christmas', 'christmascarol', 'christmaseve', 'ghost', 'holiday', 'lesson', 'money', 'scrooge', 'victorianengland']"
Jupiter Ascending,5.2,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['ChanningTatum', 'EddieRedmayne', 'MilaKunis', 'SeanBean']",76757,Lilly Wachowski,"['3d', 'interspeciesromance', 'jupiter', 'space', 'womandirector']"
The Legend of Tarzan,5.5,"['Action', 'Adventure']","['AlexanderSkarsgård', 'ChristophWaltz', 'MargotRobbie', 'SamuelL.Jackson']",258489,David Yates,"['africa', 'animalattack', 'feralchild', 'jungle', 'tarzan']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,"['Adventure', 'Family', 'Fantasy']","['AnnaPopplewell', 'GeorgieHenley', 'SkandarKeynes', 'WilliamMoseley']",411,Andrew Adamson,"['basedonnovel', 'battle', 'beaver', 'brothersisterrelationship', 'cupboard', 'duringcreditsstinger', 'fairy-talefigure', 'fantasyworld', 'lion', 'narnia', 'savingtheworld', 'selfsacrifice', 'winter', 'witch']"
X-Men: Apocalypse,6.4,['ScienceFiction'],"['JamesMcAvoy', 'JenniferLawrence', 'MichaelFassbender', 'NicholasHoult']",246655,Bryan Singer,"['1980s', 'aftercreditsstinger', 'apocalypse', 'basedoncomicbook', 'marvelcomic', 'mutant', 'superhero', 'superheroteam', 'superhuman', 'supernaturalpowers', 'worlddomination']"
The Dark Knight,8.2,"['Action', 'Crime', 'Drama', 'Thriller']","['AaronEckhart', 'ChristianBale', 'HeathLedger', 'MichaelCaine']",155,Christopher Nolan,"['basedoncomicbook', 'batman', 'chaos', 'crimefighter', 'criminalmastermind', 'dccomics', 'districtattorney', 'gothamcity', 'imax', 'joker', 'organizedcrime', 'sadism', 'scarecrow', 'secretidentity', 'superhero', 'superpowers', 'supervillain', 'tragichero', 'vigilante']"
Up,7.7,"['Adventure', 'Animation', 'Comedy', 'Family']","['BobPeterson', 'ChristopherPlummer', 'EdAsner', 'JordanNagai']",14160,Pete Docter,"['agedifference', 'animation', 'balloon', 'centralandsouthamerica', 'duringcreditsstinger', 'exploring', 'floatingintheair']"
Monsters vs Aliens,6.0,"['Adventure', 'Animation', 'Family', 'ScienceFiction']","['HughLaurie', 'PaulRudd', 'ReeseWitherspoon', 'SethRogen']",15512,Conrad Vernon,"['alien', 'duringcreditsstinger', 'giantrobot']"
Iron Man,7.4,"['Action', 'Adventure', 'ScienceFiction']","['JeffBridges', 'RobertDowneyJr.', 'ShaunToub', 'TerrenceHoward']",1726,Jon Favreau,"['aftercreditsstinger', 'agentcoulson', 'armsdealer', 'basedoncomicbook', 'counterterrorism', 'ironman', 'malibu', 'marvelcinematicuniverse', 'marvelcomic', 'middleeast', 'superhero', 'tonystark']"
Hugo,7.0,"['Adventure', 'Drama', 'Family']","['AsaButterfield', 'BenKingsley', 'ChloëGraceMoretz', 'SachaBaronCohen']",44826,Martin Scorsese,"['3d', 'automaton', 'boy', 'clock', 'doberman', 'filmdirector', 'filmmaking', 'hiding', 'key', 'legbrace', 'library', 'love', 'orphan', 'robot', 'toy']"
Wild Wild West,5.1,"['Action', 'Adventure', 'Comedy', 'ScienceFiction', 'Western']","['KennethBranagh', 'KevinKline', 'SalmaHayek', 'WillSmith']",8487,Barry Sonnenfeld,"['basedontvseries', 'drag', 'steamlocomotive', 'steampunk']"
The Mummy: Tomb of the Dragon Emperor,5.2,"['Action', 'Adventure', 'Fantasy']","['BrendanFraser', 'JetLi', 'JohnHannah', 'MariaBello']",1735,Rob Cohen,['']
Suicide Squad,5.9,"['Action', 'Adventure', 'Crime', 'Fantasy', 'ScienceFiction']","['JoelKinnaman', 'MargotRobbie', 'ViolaDavis', 'WillSmith']",297761,David Ayer,"['antihero', 'dccomics', 'dcextendeduniverse', 'secretmission', 'shareduniverse', 'superhero', 'supervillain', 'villain']"
Evan Almighty,5.3,"['Comedy', 'Family', 'Fantasy']","['JimmyBennett', 'JohnGoodman', 'LaurenGraham', 'SteveCarell']",2698,Tom Shadyac,"['animal', 'baustelle', 'dailylife', 'duringcreditsstinger', 'faith', 'father', 'fathersonrelationship', 'marriage', 'marriedcouple', 'nature', 'noahsark', 'rescue', 'support']"
Edge of Tomorrow,7.6,"['Action', 'ScienceFiction']","['BillPaxton', 'BrendanGleeson', 'EmilyBlunt', 'TomCruise']",137113,Doug Liman,"['alien', 'alieninvasion', 'dejavu', 'dystopia', 'exoskeleton', 'militaryofficer', 'restart', 'soldier', 'timewarp', 'war']"
Waterworld,5.9,"['Action', 'Adventure']","['ChaimGirafi', 'KevinCostner', 'R.D.Call', 'RickAviles']",9804,Kevin Reynolds,"['doomsday', 'dystopia', 'mutant', 'ocean', 'tattoo', 'water']"
G.I. Joe: The Rise of Cobra,5.6,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['ChanningTatum', 'DennisQuaid', 'MarlonWayans', 'SiennaMiller']",14869,Stephen Sommers,"['attack', 'cobra', 'evil', 'explosion', 'government', 'hostage', 'lasers', 'murder', 'president', 'revenge', 'scientist', 'secret', 'technology', 'terrorist', 'warhead']"
Inside Out,8.0,"['Animation', 'Comedy', 'Drama', 'Family']","['AmyPoehler', 'BillHader', 'PhyllisSmith', 'RichardKind']",150540,Pete Docter,"['3d', 'animation', 'cartoon', 'dream', 'duringcreditsstinger', 'emotions', 'family', 'imaginaryfriend', 'kids', 'moving', 'unicorn']"
The Jungle Book,6.7,"['Adventure', 'Drama', 'Family', 'Fantasy']","['BenKingsley', 'BillMurray', 'IdrisElba', 'NeelSethi']",278927,Jon Favreau,"['animal', 'basedonnovel', 'bear', 'elephant', 'feralchild', 'jungle', 'orphan', 'panther', 'remake', 'snake', 'talkinganimal', 'talkingtoanimals', 'tiger', 'wolf']"
Iron Man 2,6.6,"['Action', 'Adventure', 'ScienceFiction']","['DonCheadle', 'GwynethPaltrow', 'RobertDowneyJr.', 'ScarlettJohansson']",10138,Jon Favreau,"['aftercreditsstinger', 'basedoncomicbook', 'malibu', 'marvelcinematicuniverse', 'marvelcomic', 'revenge', 'superhero']"
Snow White and the Huntsman,5.8,"['Adventure', 'Drama', 'Fantasy']","['CharlizeTheron', 'ChrisHemsworth', 'KristenStewart', 'SamClaflin']",58595,Rupert Sanders,"['deception', 'eternalyouth', 'evilqueen', 'evilstepmother', 'fairytale', 'forest', 'immortality', 'imprisoned', 'magic', 'queen', 'snowwhite', 'sorceress', 'woman']"
Maleficent,7.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']","['AngelinaJolie', 'ElleFanning', 'SamRiley', 'SharltoCopley']",102651,Robert Stromberg,"['3d', 'adaptation', 'basedonfairytale', 'darkfantasy', 'fairytale', 'literaryadaptation', 'retelling', 'sleepingbeauty', 'villain']"
Dawn of the Planet of the Apes,7.3,"['Action', 'Drama', 'ScienceFiction', 'Thriller']","['AndySerkis', 'GaryOldman', 'JasonClarke', 'KeriRussell']",119450,Matt Reeves,"['3d', 'animalattack', 'ape', 'colony', 'dystopia', 'forest', 'leader', 'medicalresearch', 'monkey', 'plague', 'post-apocalyptic', 'scientist', 'sequel', 'woods']"
The Lovers,4.8,"['Action', 'Adventure', 'Romance', 'ScienceFiction']","['AliceEnglert', 'JoshHartnett', 'SimoneKessell', 'TamsinEgerton']",79698,Roland Joffé,['']
47 Ronin,5.9,"['Action', 'Adventure', 'Drama', 'Fantasy']","['HiroyukiSanada', 'KeanuReeves', 'KouShibasaki', 'TadanobuAsano']",64686,Carl Rinsch,"['3d', 'basedontruestory', 'halfbreed', 'japan', 'ronin', 'samurai', 'samuraisword', 'shogun', 'suicide']"
